lead_id,first_name,last_name,email,company,job_title,industry,company_size_bucket,country,lead_source,status,created_at,lead_score_baseline,converted,estimated_deal_size
479,Aaron,Smith,patrickkelly@example.org,Raymond and Sons,Director of IT,Consulting,50-100,Uganda,Content Download,Qualified,2025-02-13 16:13:48.745207,100.0,0,18000
2722,Priscilla,Hernandez,hilldavid@example.net,Avila Ltd,Project Manager,Marketing Agency,101-250,Madagascar,Webinar,New,2025-02-13 17:29:16.745207,52.4,0,10000
2853,Kenneth,Rosales,barbaradavis@example.com,Andrade Inc,CTO,Marketing Agency,101-250,Luxembourg,Content Download,Qualified,2025-02-13 19:35:04.745207,43.4,0,20000
4762,Rebecca,Sanchez,powelltimothy@example.org,Johnson-Hale,Director of IT,Marketing Agency,101-250,Mauritania,Content Download,New,2025-02-14 01:23:14.745207,70.0,0,18000
4869,Larry,Bryant,jonesdavid@example.org,Harper LLC,CTO,Consulting,101-250,British Virgin Islands,Website Form,Demo Scheduled,2025-02-14 01:41:04.745207,62.2,0,20000
2460,Joshua,Garrett,timothymedina@example.com,Mccormick-Jackson,CTO,Technology,50-100,Saint Pierre and Miquelon,Webinar,Qualified,2025-02-14 04:59:22.745207,67.1,0,15000
4159,Ronald,Parrish,tmiller@example.com,Goodman-Romero,Director of IT,Consulting,101-250,Philippines,Content Download,Demo Scheduled,2025-02-14 08:58:43.745207,50.3,0,10000
4446,Susan,Moore,jeremy33@example.net,Crawford PLC,Project Manager,Manufacturing,101-250,Mongolia,Content Download,Proposal Sent,2025-02-14 10:29:01.745207,48.6,0,18000
2104,Daniel,Ruiz,kimberly83@example.com,Graham-Schroeder,Project Manager,Healthcare,101-250,South Africa,Website Form,Qualified,2025-02-14 14:08:58.745207,76.9,0,18000
3977,Joseph,Scott,uallen@example.com,Johns Group,Director of IT,Technology,251-500,Switzerland,Website Form,Contacted,2025-02-14 14:14:18.745207,67.6,0,10000
